date_jst,BTC,GOLD,US10Y,SP500
2022-03-19 09:00:00+09:00,-0.414287,1.505131,-2.291731,-1.152647
2022-03-20 09:00:00+09:00,-0.483279,1.644953,-2.228489,-0.925553
2022-03-21 09:00:00+09:00,-0.599906,1.723104,-2.557488,-1.260336
2022-03-22 09:00:00+09:00,-0.518550,1.408775,-2.763073,-1.229084
2022-03-23 09:00:00+09:00,-0.597562,1.476401,-2.381347,-1.561319
2022-03-24 09:00:00+09:00,-0.546965,1.796382,-2.559320,-1.285902
2022-03-25 09:00:00+09:00,-0.512856,1.677238,-2.899452,-1.182482
2022-03-26 09:00:00+09:00,-0.528152,1.662619,-2.846036,-1.173767
2022-03-27 09:00:00+09:00,-0.396646,1.692444,-2.807944,-1.416229
2022-03-28 09:00:00+09:00,-0.217243,1.464471,-2.676334,-1.256882
2022-03-29 09:00:00+09:00,-0.133452,1.165857,-2.277390,-1.049556
2022-03-30 09:00:00+09:00,-0.207791,1.331532,-2.225853,-1.102468
2022-03-31 09:00:00+09:00,-0.252807,1.321092,-2.092686,-1.332857
2022-04-01 09:00:00+09:00,-0.293772,0.929233,-2.299302,-1.260176
2022-04-02 09:00:00+09:00,-0.302382,0.924280,-2.269853,-1.249725
2022-04-03 09:00:00+09:00,-0.217647,1.298766,-1.915101,-1.353126
2022-04-04 09:00:00+09:00,-0.176163,1.219965,-1.901515,-1.186130
2022-04-05 09:00:00+09:00,-0.094028,0.990403,-2.155480,-1.051305
2022-04-06 09:00:00+09:00,-0.226249,1.412430,-2.170394,-1.201540
2022-04-07 09:00:00+09:00,-0.097896,1.486765,-2.119842,-1.042831
2022-04-08 09:00:00+09:00,-0.199078,1.574248,-2.272693,-1.082507
2022-04-09 09:00:00+09:00,-0.180887,1.561926,-2.248213,-1.074067
2022-04-10 09:00:00+09:00,-0.218652,1.529415,-2.214752,-1.039947
2022-04-11 09:00:00+09:00,-0.468605,1.282617,-2.434027,-1.492380
2022-04-12 09:00:00+09:00,-0.507215,1.500596,-2.251086,-1.586056
2022-04-13 09:00:00+09:00,-0.353908,1.673800,-2.259962,-1.129003
2022-04-14 09:00:00+09:00,-0.474975,1.596442,-2.305270,-1.347787
2022-04-15 09:00:00+09:00,-0.440971,1.581854,-2.276296,-1.336224
2022-04-16 09:00:00+09:00,-0.448381,1.567526,-2.248249,-1.324816
2022-04-17 09:00:00+09:00,-0.443619,1.553721,-2.221784,-1.313542
2022-04-18 09:00:00+09:00,-0.376380,1.742132,-2.044169,-0.983771
2022-04-19 09:00:00+09:00,-0.285976,1.001793,-2.315322,-0.517577
2022-04-20 09:00:00+09:00,-0.219473,0.960875,-2.106795,-0.320178
2022-04-21 09:00:00+09:00,0.058672,1.001164,-2.442117,-0.237155
2022-04-22 09:00:00+09:00,0.125125,0.825066,-2.395989,-0.746598
2022-04-23 09:00:00+09:00,-0.012303,0.818297,-2.366619,-0.740248
2022-04-24 09:00:00+09:00,-0.046973,0.685299,-2.311221,-0.783755
